Date,Symbol,Open,High,Low,Close,Volume,Pct_Change
2023-04-21,AAPL,165.05,166.4521,164.49,165.02,58337341,-0.98
2023-04-24,AAPL,165.0,165.6,163.89,165.33,41949581,0.19
2023-04-25,AAPL,165.19,166.305,163.73,163.77,48714063,-0.94
2023-04-26,AAPL,163.055,165.28,162.8,163.76,44105745,-0.01
2023-04-27,AAPL,165.19,168.56,165.19,168.41,64902329,2.84
2023-04-28,AAPL,168.49,169.85,167.8801,169.68,55275851,0.75
2023-05-01,AAPL,169.28,170.45,168.64,169.59,52472936,-0.05
2023-05-02,AAPL,170.09,170.35,167.54,168.54,48425696,-0.62
2023-05-03,AAPL,169.5,170.92,167.16,167.45,65136018,-0.65
2023-05-04,AAPL,164.89,167.04,164.31,165.79,81235427,-0.99
2023-05-05,AAPL,170.975,174.3,170.76,173.57,113453171,4.69
2023-05-08,AAPL,172.48,173.85,172.11,173.5,55962793,-0.04
2023-05-09,AAPL,173.05,173.54,171.6,171.77,45326874,-1.0
2023-05-10,AAPL,173.02,174.03,171.9,173.555,53724501,1.04
2023-05-11,AAPL,173.85,174.59,172.17,173.75,49514676,0.11
2023-05-12,AAPL,173.62,174.06,171.0,172.57,45533138,-0.68
2023-05-15,AAPL,173.16,173.21,171.47,172.07,37266659,-0.29
2023-05-16,AAPL,171.99,173.1383,171.7991,172.07,42110293,0.0
2023-05-17,AAPL,171.71,172.925,170.4201,172.69,57951604,0.36
2023-05-18,AAPL,173.0,175.24,172.58,175.05,65496657,1.37
2023-05-19,AAPL,176.39,176.39,174.94,175.16,55809475,0.06
2023-05-22,AAPL,173.98,174.71,173.45,174.2,43570932,-0.55
2023-05-23,AAPL,173.13,173.3794,171.275,171.56,50747263,-1.52
2023-05-24,AAPL,171.09,172.4183,170.52,171.84,45143488,0.16
2023-05-25,AAPL,172.41,173.895,171.69,172.99,56058258,0.67
2023-05-26,AAPL,173.32,175.77,173.11,175.43,54834975,1.41
2023-05-30,AAPL,176.96,178.99,176.57,177.3,55964401,1.07
2023-05-31,AAPL,177.325,179.35,176.76,177.25,99313268,-0.03
2023-06-01,AAPL,177.7,180.12,176.9306,180.09,68901809,1.6
2023-06-02,AAPL,181.03,181.78,179.26,180.95,61996913,0.48
2023-06-05,AAPL,182.63,184.951,178.035,179.58,121946497,-0.76
